opportunity_id,company_id,title,entry_route,level,role_family,description,typical_quals,useful_projects,application_tips,source
OPP001,GLC001,Engineering Apprenticeship,apprenticeship,Level 3-6,engineer_ops,Design manufacture and test precision measurement systems.,GCSEs incl Maths English; A-levels/BTEC Engineering or Physics helpful,CAD mini-project; Arduino/sensor build; STEM competition,Apply early; show practical STEM evidence,seed
OPP002,GLC001,Graduate Software / Engineering,graduate,Level 6+,software,Graduate routes into software metrology and engineering teams.,STEM degree preferred,GitHub portfolio; robotics/automation project,Highlight teamwork and manufacturing context interest,seed
OPP003,GLC003,Aerospace Manufacturing Apprentice,apprenticeship,Level 3-4,manufacturing,Hands-on aerospace manufacturing and quality processes.,GCSEs Maths English Science; DT/Engineering preferred,Workshop skills; CAD; health & safety awareness,Be ready to discuss why aerospace / Gloucestershire,seed
OPP004,GLC004,Flight Controls Engineering Pathway,apprenticeship,Level 3-6,engineer_ops,Engineering support for aerospace flight control products.,Maths Physics Engineering Level 3 or equivalent,Electronics kit; systems thinking examples,Show curiosity about how aircraft systems work,seed
OPP005,GLC006,Cyber Security Apprenticeship (cluster SMEs),apprenticeship,Level 3-4,cyber,Entry cyber roles via Cheltenham cyber SME network.,IT/Computer Science helpful; attitude and learning agility key,TryHackMe/HackTheBox; home lab; CompTIA interest,Network via CyNam events; build a learning log,seed
OPP006,GLC007,Graduate Analyst / Engineer,graduate,Level 6+,analyst,Intelligence and software roles supporting financial crime detection.,CS Data Cyber or related degree,Python project; data cleaning notebook; OSINT interest,Demonstrate ethics and attention to detail,seed
OPP007,GLC009,Agri-tech Internship,internship,any,research_lab,Support startups in food farming and agri-tech innovation.,Agri environmental CS or business background useful,Farm tech idea; sustainability project; market research,Show interest in real-world farming problems,seed
OPP008,GLC010,Land-based / Equine / Sport Pathways,apprenticeship,Level 2-6,field_ops,Practical and academic pathways into land-based industries.,Relevant Level 2/3 land-based or sport quals,Volunteering on farm/stable/sports coaching,Emphasise outdoor practical experience,seed
OPP009,GLC012,Healthcare Support Worker / Nursing Associate routes,apprenticeship,Level 2-5,care,Patient-facing and clinical support careers in the NHS.,GCSEs; care certificate interest; values-based recruitment,Care volunteering; first aid; reflective journal,Prepare values examples (compassion teamwork),seed
OPP010,GLC013,Local Government Apprenticeship / Graduate,apprenticeship,Level 3-6,admin,Digital business environment and community roles in the council.,Varies by scheme; often Level 3+,Community project; digital skills; admin experience,Show commitment to public service locally,seed
OPP011,GLC015,Events / Marketing Internship,internship,any,events,Support festival operations marketing and audience experience.,Any; creative communications or events interest,Event volunteering; social content samples,Seasonal peaks; flexibility valued,seed
OPP012,GLC017,Retail / Commercial / Design Pathways,school_leaver,Level 2-6,sales,Store head office and design-adjacent opportunities.,Retail experience helpful,Personal brand project; merchandising ideas,Customer service stories land well,seed
OPP013,GLC018,Sustainability / Green Energy Roles,graduate,Level 6+,analyst,Commercial and sustainability-focused roles in green energy.,Business environment STEM or related,Carbon footprint project; energy market research,Passion for climate solutions matters,seed
OPP014,GLC002,Mechanical / Manufacturing Apprentice,apprenticeship,Level 3-4,manufacturing,Apprenticeships supporting industrial steam and thermal products.,Maths English; Engineering preferred,Workshop project; CAD basics,Ask about training centre and mentor support,seed
