leaver_id,interest_sectors,target_sectors,dominant_riasec,r,i,a,s,e,c,source,cohort,sample_weight,persona_seed
glos_technical_specialist_0,business_professional|cyber_digital,business_professional|cyber_digital,Investigative|Conventional,0.1019,0.3116,0.1115,0.1156,0.1012,0.2582,glos_priors,synthetic_glos,3.5,Technical Specialist
glos_technical_specialist_2,business_professional|cyber_digital,business_professional|cyber_digital,Investigative|Conventional,0.1008,0.3016,0.0988,0.0715,0.1548,0.2726,glos_priors,synthetic_glos,3.5,Technical Specialist
glos_technical_specialist_3,business_professional|cyber_digital,business_professional|cyber_digital,Investigative|Conventional,0.0768,0.3422,0.0875,0.0819,0.1288,0.2828,glos_priors,synthetic_glos,3.5,Technical Specialist
glos_technical_specialist_6,business_professional,business_professional,Investigative|Conventional,0.068,0.3343,0.0785,0.0971,0.1408,0.2814,glos_priors,synthetic_glos,3.5,Technical Specialist
glos_technical_specialist_7,business_professional,business_professional,Investigative|Conventional,0.0946,0.3292,0.0915,0.096,0.148,0.2408,glos_priors,synthetic_glos,3.5,Technical Specialist
glos_technical_specialist_8,business_professional,business_professional,Investigative|Conventional,0.0809,0.3038,0.0849,0.121,0.1181,0.2913,glos_priors,synthetic_glos,3.5,Technical Specialist
glos_hands-on_maker_0,aerospace_manufacturing|agri_tech_food|construction_green,aerospace_manufacturing|agri_tech_food|construction_green,Realistic|Conventional,0.3353,0.1777,0.0647,0.0676,0.1174,0.2372,glos_priors,synthetic_glos,3.5,Hands-on Maker
glos_hands-on_maker_1,aerospace_manufacturing|construction_green,aerospace_manufacturing|construction_green,Realistic|Conventional,0.3019,0.1842,0.0773,0.0885,0.1403,0.2078,glos_priors,synthetic_glos,3.5,Hands-on Maker
glos_hands-on_maker_2,aerospace_manufacturing|agri_tech_food|construction_green,aerospace_manufacturing|agri_tech_food|construction_green,Realistic|Conventional,0.3088,0.1729,0.066,0.1002,0.126,0.2261,glos_priors,synthetic_glos,3.5,Hands-on Maker
glos_hands-on_maker_6,aerospace_manufacturing|construction_green,aerospace_manufacturing|construction_green,Realistic|Conventional,0.2936,0.1782,0.0873,0.1181,0.1256,0.1971,glos_priors,synthetic_glos,3.5,Hands-on Maker
glos_hands-on_maker_7,aerospace_manufacturing|agri_tech_food|construction_green,aerospace_manufacturing|agri_tech_food|construction_green,Realistic|Conventional,0.3213,0.1812,0.1158,0.0638,0.1181,0.1997,glos_priors,synthetic_glos,3.5,Hands-on Maker
glos_hands-on_maker_8,agri_tech_food|construction_green,agri_tech_food|construction_green,Realistic|Conventional,0.3226,0.1727,0.0592,0.0683,0.1391,0.2381,glos_priors,synthetic_glos,3.5,Hands-on Maker
