occupation_key,title,onetsoc_code,sectors,r,i,a,s,e,c,notes
software_dev,Software Developer,15-1252.00,cyber_digital,2.5,6.5,3.0,2.0,3.0,5.5,digital builder
cyber_analyst,Information Security Analyst,15-1212.00,cyber_digital,2.0,6.8,1.5,2.0,2.5,6.0,defence / SOC lean
web_dev,Web Developer,15-1254.00,cyber_digital,2.5,5.5,4.5,2.5,3.5,5.0,frontend creative lean
data_analyst,Data Analyst,15-2051.00,cyber_digital|business_professional,1.5,6.5,2.0,2.0,3.0,6.5,numbers + systems
it_support,Computer User Support Specialist,15-1232.00,cyber_digital,3.5,5.0,2.0,4.0,3.0,5.5,customer + tech
network_tech,Network and Computer Systems Administrator,15-1244.00,cyber_digital,4.0,5.5,1.5,2.5,2.5,6.0,infra
aerospace_tech,Aerospace Engineering Technologist,17-3021.00,aerospace_manufacturing,5.5,6.0,2.5,2.0,2.5,5.0,Glos aero
mech_engineer,Mechanical Engineer,17-2141.00,aerospace_manufacturing|construction_green,5.0,6.2,2.5,2.0,3.0,5.0,maker + design
elec_engineer,Electrical Engineer,17-2071.00,aerospace_manufacturing|construction_green,4.5,6.5,2.0,2.0,2.5,5.5,power systems
avionics,Avionics Technician,49-2091.00,aerospace_manufacturing,6.0,5.0,2.0,2.0,2.0,5.5,hands-on aero
cnc_machinist,CNC Machinist,51-4041.00,aerospace_manufacturing|construction_green,6.5,4.0,2.0,1.5,2.0,5.5,shop floor
industrial_eng,Industrial Engineering Technologist,17-3026.00,aerospace_manufacturing|business_professional,4.5,5.5,2.0,2.5,4.0,5.5,process
agri_tech,Agricultural Technician,19-4012.00,agri_tech_food,5.5,5.0,2.0,3.0,3.0,4.5,Glos agri
food_sci,Food Scientist,19-1012.00,agri_tech_food,3.0,6.5,2.0,2.5,2.5,5.0,lab food
farm_manager,Farm / Estate Manager,11-9013.00,agri_tech_food|business_professional,5.5,3.5,2.0,3.0,5.5,4.5,land + enterprise
env_tech,Environmental Science Technician,19-4042.00,agri_tech_food|public_sector|construction_green,4.5,5.5,2.5,3.5,3.0,4.5,sustainability
horticulture,Horticulturist,19-1013.00,agri_tech_food,5.5,4.0,3.0,3.0,3.0,4.0,land-based
nurse,Registered Nurse,29-1141.00,health_care,3.0,4.5,2.0,6.5,3.0,5.0,care lead
hca,Nursing Assistant / HCA,31-1131.00,health_care,4.0,3.0,1.5,6.5,2.5,4.5,entry care
physio,Physiotherapist,29-1123.00,health_care,4.0,5.0,2.0,6.0,3.0,4.5,allied health
pharmacy_tech,Pharmacy Technician,29-2052.00,health_care|business_professional,2.5,5.0,1.5,4.5,2.5,6.5,health conventional
mental_health,Mental Health Support Worker,21-1014.00,health_care|public_sector,2.5,3.5,2.5,6.8,3.0,4.0,people first
paramedic,Emergency Medical Technician,29-2042.00,health_care|public_sector,5.0,4.5,1.5,6.0,3.5,4.5,response
teacher,Secondary School Teacher,25-2031.00,education_training,2.0,4.5,4.0,6.5,4.0,5.0,education
ta,Teaching Assistant,25-9042.00,education_training,2.5,3.0,3.0,6.5,3.0,5.0,early support
early_years,Preschool / Early Years Teacher,25-2011.00,education_training|health_care,3.0,3.0,4.0,6.8,3.5,4.5,EYFS
training_officer,Training and Development Specialist,13-1151.00,education_training|business_professional,2.0,3.5,3.5,5.5,5.0,5.0,L&D
civil_servant,Government Program Officer,11-9151.00,public_sector|business_professional,2.0,4.0,2.0,5.0,4.5,6.0,public admin
police,Police Officer,33-3051.00,public_sector,5.0,3.5,1.5,5.5,4.5,5.0,uniformed
social_worker,Social Worker,21-1021.00,public_sector|health_care,2.5,3.5,2.5,6.8,3.5,4.5,community
local_gov,Local Authority Administrator,43-9061.00,public_sector|business_professional,1.5,3.0,2.0,4.5,3.5,6.5,council ops
graphic_designer,Graphic Designer,27-1024.00,creative_events,2.0,3.5,6.8,2.5,4.0,4.0,creative
events_manager,Meeting / Event Planner,13-1121.00,creative_events|hospitality_tourism,2.5,3.0,5.0,5.0,6.5,5.0,events
video_editor,Film and Video Editor,27-4032.00,creative_events,2.5,3.5,6.5,2.0,3.5,4.0,media
marketing,Marketing Specialist,13-1161.00,creative_events|business_professional|hospitality_retail,1.5,3.5,5.0,4.0,6.5,4.5,commercial creative
photographer,Photographer,27-4021.00,creative_events,3.5,3.0,6.5,3.0,4.0,3.5,visual
electrician,Electrician,47-2111.00,construction_green,6.5,4.0,2.0,2.5,3.0,5.0,trade
plumber,Plumber,47-2152.00,construction_green,6.5,3.5,1.5,3.0,3.5,4.5,trade
carpenter,Carpenter,47-2031.00,construction_green,6.8,3.0,3.5,2.0,3.0,4.0,trade
site_supervisor,Construction Supervisor,47-1011.00,construction_green|business_professional,5.5,3.5,2.0,3.5,5.5,5.0,site lead
green_energy,Solar Photovoltaic Installer,47-2231.00,construction_green,6.5,4.0,2.0,2.5,3.0,4.5,green skills
surveyor,Surveyor,17-1022.00,construction_green|business_professional,4.0,5.0,2.5,2.5,4.0,5.5,built env
hotel_manager,Lodging Manager,11-9081.00,hospitality_tourism|business_professional,2.5,2.5,3.0,5.0,6.5,5.0,hospitality lead
chef,Chef / Head Cook,35-1011.00,hospitality_tourism,5.0,2.5,5.0,3.5,4.5,4.0,kitchen
front_of_house,Hotel Front Desk Clerk,43-4081.00,hospitality_tourism|hospitality_retail,2.0,2.0,2.5,5.5,5.0,5.5,guest facing
travel_agent,Travel Agent,41-3041.00,hospitality_tourism|hospitality_retail,1.5,2.5,3.5,5.0,6.0,5.0,tourism
