name,company_number,town,postcode,account_category,size_score,size_band,sectors,website
3Ab Care Limited,06500143,Bristol,BS37,GROUP,100,large,education_training|health_care,https://find-and-update.company-information.service.gov.uk/company/06500143
A D Burs Limited,03059307,Gloucester,GL2,GROUP,100,large,health_care|aerospace_manufacturing,https://find-and-update.company-information.service.gov.uk/company/03059307
Abec (Group) Ltd,13152619,Tewkesbury,GL20,GROUP,100,large,construction_green|business_professional,https://find-and-update.company-information.service.gov.uk/company/13152619
Aceo Limited,03836436,Westbury-On-Severn,GL14,GROUP,100,large,hospitality_tourism|hospitality_retail|agri_tech_food,https://find-and-update.company-information.service.gov.uk/company/03836436
Alastair Sawday Publishing Co. Ltd,02812527,Bristol,BS1,GROUP,100,large,business_professional,https://find-and-update.company-information.service.gov.uk/company/02812527
Alder King Llp,OC306796,Clifton,BS8,GROUP,100,large,business_professional,https://find-and-update.company-information.service.gov.uk/company/OC306796
Allstone Sands Gravels Aggregates Trading Co. Ltd.,01768403,Gloucester,GL1,GROUP,100,large,business_professional,https://find-and-update.company-information.service.gov.uk/company/01768403
Anderbury Limited,02468075,Cheltenham,GL51,GROUP,100,large,hospitality_tourism,https://find-and-update.company-information.service.gov.uk/company/02468075
Andrews & Partners Limited,00235326,Bristol,BS31,GROUP,100,large,business_professional,https://find-and-update.company-information.service.gov.uk/company/00235326
Andrews Charitable Trust,10961227,Bristol,BS31,GROUP,100,large,business_professional,https://find-and-update.company-information.service.gov.uk/company/10961227
Anstee & Ware Group Limited,06001154,Stonehouse,GL10,GROUP,100,large,construction_green,https://find-and-update.company-information.service.gov.uk/company/06001154
Archives And Records Association (UK And Ireland),02969472,Bristol,BS1,GROUP,100,large,construction_green,https://find-and-update.company-information.service.gov.uk/company/02969472
Archus Holdco Limited,14874608,Redcliffe,BS1,GROUP,100,large,business_professional,https://find-and-update.company-information.service.gov.uk/company/14874608
Asb Leisure Limited,11582610,Gloucester,GL1,GROUP,100,large,hospitality_retail,https://find-and-update.company-information.service.gov.uk/company/11582610
Ashfield Land Limited,04363855,Bristol,BS8,GROUP,100,large,business_professional,https://find-and-update.company-information.service.gov.uk/company/04363855
Atlantic Group International Limited,10327334,Bristol,BS8,GROUP,100,large,business_professional,https://find-and-update.company-information.service.gov.uk/company/10327334
Aurem Care (Bidco) Limited,13734254,Cheltenham,GL50,GROUP,100,large,health_care,https://find-and-update.company-information.service.gov.uk/company/13734254
Aurem Care Group Limited,13732569,Cheltenham,GL50,GROUP,100,large,health_care,https://find-and-update.company-information.service.gov.uk/company/13732569
Autograph Homes Limited,10421422,Bristol,BS36,GROUP,100,large,construction_green,https://find-and-update.company-information.service.gov.uk/company/10421422
Avon Wildlife Trust,01495108,Bristol,BS39,GROUP,100,large,business_professional,https://find-and-update.company-information.service.gov.uk/company/01495108
B T Q Limited,01966114,Yate,BS37,GROUP,100,large,construction_green|aerospace_manufacturing,https://find-and-update.company-information.service.gov.uk/company/01966114
Babington Business Limited,07077954,Bristol,BS8,GROUP,100,large,education_training,https://find-and-update.company-information.service.gov.uk/company/07077954
Backhouse Opportunities Limited,11639844,Bristol,BS2,GROUP,100,large,construction_green,https://find-and-update.company-information.service.gov.uk/company/11639844
Badminton School Limited,00257012,Bristol,BS9,GROUP,100,large,education_training,https://find-and-update.company-information.service.gov.uk/company/00257012
Bakers Coaches Limited,03635902,Weston-Super-Mare,BS23,GROUP,100,large,creative_events,https://find-and-update.company-information.service.gov.uk/company/03635902
Bamford Collection Limited,03064811,Moreton-In-Marsh,GL56,GROUP,100,large,business_professional,https://find-and-update.company-information.service.gov.uk/company/03064811
Banyan Software UK Limited,13660231,Bristol,BS13,GROUP,100,large,cyber_digital,https://find-and-update.company-information.service.gov.uk/company/13660231
Barnwood Group Limited,03360908,Gloucestershire,GL4,GROUP,100,large,construction_green,https://find-and-update.company-information.service.gov.uk/company/03360908
Bartletts Transport And Warehouses Limited,02791270,Bristol,BS39,GROUP,100,large,business_professional,https://find-and-update.company-information.service.gov.uk/company/02791270
Barworks Limited,03794021,Gloucester,GL2,GROUP,100,large,business_professional,https://find-and-update.company-information.service.gov.uk/company/03794021
Belltown Power UK Wind Limited,12479510,Bristol,BS1,GROUP,100,large,construction_green,https://find-and-update.company-information.service.gov.uk/company/12479510
Bence Roofing Supplies Limited,08723834,Cheltenham,GL52,GROUP,100,large,hospitality_retail,https://find-and-update.company-information.service.gov.uk/company/08723834
Benefact Trust Limited,01043742,Gloucester,GL3,GROUP,100,large,business_professional,https://find-and-update.company-information.service.gov.uk/company/01043742
Berkhampstead School (Cheltenham) Trust Limited,01136229,Cheltenham,GL52,GROUP,100,large,education_training,https://find-and-update.company-information.service.gov.uk/company/01136229
Bf Inter Ltd,10369765,Cheltenham,GL53,GROUP,100,large,business_professional,https://find-and-update.company-information.service.gov.uk/company/10369765
Blu Wireless Technology Limited,06855929,Bristol,BS2,GROUP,100,large,cyber_digital|aerospace_manufacturing,https://find-and-update.company-information.service.gov.uk/company/06855929
Bluefield Services Limited,09535914,Bristol,BS1,GROUP,100,large,business_professional,https://find-and-update.company-information.service.gov.uk/company/09535914
Bodywise (UK) Limited,02379973,Bristol,BS32,GROUP,100,large,aerospace_manufacturing,https://find-and-update.company-information.service.gov.uk/company/02379973
Bowmoor Topco Limited,11250968,Cheltenham,GL54,GROUP,100,large,health_care|aerospace_manufacturing,https://find-and-update.company-information.service.gov.uk/company/11250968
Bowson Group Ltd,11700797,Cinderford,GL14,GROUP,100,large,hospitality_retail,https://find-and-update.company-information.service.gov.uk/company/11700797
Brewhouse & Kitchen Limited,07769260,Woodchester,GL5,GROUP,100,large,hospitality_tourism,https://find-and-update.company-information.service.gov.uk/company/07769260
Bristol Aero Collection Trust,02689238,Bristol,BS34,GROUP,100,large,agri_tech_food|creative_events,https://find-and-update.company-information.service.gov.uk/company/02689238
Bristol Folk House,11752084,Bristol,BS1,GROUP,100,large,business_professional,https://find-and-update.company-information.service.gov.uk/company/11752084
Bristol Grammar School,05142007,Bristol,BS8,GROUP,100,large,education_training,https://find-and-update.company-information.service.gov.uk/company/05142007
Bristol Music Trust,07531978,Bristol,BS1,GROUP,100,large,education_training|hospitality_tourism|agri_tech_food,https://find-and-update.company-information.service.gov.uk/company/07531978
Bristol Old Vic And Theatre Royal Trust Limited,00756007,Bristol,BS1,GROUP,100,large,creative_events,https://find-and-update.company-information.service.gov.uk/company/00756007
Bristol Old Vic Theatre School Limited,02430025,Bristol,BS8,GROUP,100,large,education_training|creative_events,https://find-and-update.company-information.service.gov.uk/company/02430025
Bristol Rovers (1883) Limited,04501223,Bristol,BS7,GROUP,100,large,creative_events,https://find-and-update.company-information.service.gov.uk/company/04501223
Bristol Rugby Club Limited,03601031,Bristol,BS3,GROUP,100,large,creative_events,https://find-and-update.company-information.service.gov.uk/company/03601031
Bristol Sport Limited,07881103,Bristol,BS3,GROUP,100,large,creative_events,https://find-and-update.company-information.service.gov.uk/company/07881103
"Bristol, Clifton And West Of England Zoological Society Limited",05154176,Bristol,BS10,GROUP,100,large,agri_tech_food|creative_events,https://find-and-update.company-information.service.gov.uk/company/05154176
Brsk Limited,12792126,Tewkesbury,GL20,GROUP,100,large,business_professional,https://find-and-update.company-information.service.gov.uk/company/12792126
