course_id,title,provider,provider_ukprn,town,postcode,region,level,course_type,course_type_label,study_mode,sectors,entry_routes,summary,website,profile_text,source,source_date
NCS-10001467-bb7253c5-ac59-42a2-8435-38fe6bf03632,AAT Accounting - Level 2,CITY OF BRISTOL COLLEGE,10001467,Bristol,BS1 5UA,bristol,See provider,,FE / HE course,2,business_professional,school_leaver|apprenticeship,"The AAT qualification gives you practical, internationally recognised finance and accountancy skills. The Level 2 Certificate will cover processing bookkeeping transactions, control accounts, providin Type: FE / HE course",http://www.cityofbristol.ac.uk/courses/business-professional-services/financial-services/aat-accounting-level-2,"AAT Accounting - Level 2 | CITY OF BRISTOL COLLEGE | Bristol |  | FE / HE course |  | The AAT qualification gives you practical, internationally recognised finance and accountancy skills. The Level 2 Certificate will cover processing bookkeeping  | business_professional",ncs_course_directory,2026-06
NCS-10001467-05ccaf9b-7c35-4c2f-8da5-146a64d13432,AAT Accounting - Level 3,CITY OF BRISTOL COLLEGE,10001467,Bristol,BS1 5UA,bristol,See provider,4,Free Courses for Jobs,2,business_professional,school_leaver|apprenticeship,The AAT qualification is universally respected and internationally recognised for providing students with extensive practical accountancy training. The Level 3 Diploma extends the book-keeping knowled Type: Free Courses for Jobs,http://www.cityofbristol.ac.uk/courses/business-professional-services/financial-services/aat-accounting-level-3,AAT Accounting - Level 3 | CITY OF BRISTOL COLLEGE | Bristol |  | Free Courses for Jobs |  | The AAT qualification is universally respected and internationally recognised for providing students with extensive practical accountancy training. The Level 3  | business_professional,ncs_course_directory,2026-06
NCS-10001467-4c346fc6-3b6c-4725-9a8b-3071604f2105,Access to Higher Education (Science and Engineering),CITY OF BRISTOL COLLEGE,10001467,Bristol,BS7 9BU,bristol,See provider,,Access to HE,1,aerospace_manufacturing|education_training|cyber_digital,school_leaver|apprenticeship,"The Access to HE course is a one-year, full-time, Level 3 course specifically designed to enable you to develop the knowledge and study skills to progress into Higher Education.--You may already have  Type: Access to HE",http://www.cityofbristol.ac.uk/courses/applied-forensic-biomedical-science/science/access-to-higher-education-science-and-engineering,"Access to Higher Education (Science and Engineering) | CITY OF BRISTOL COLLEGE | Bristol |  | Access to HE |  | The Access to HE course is a one-year, full-time, Level 3 course specifically designed to enable you to develop the knowledge and study skills to progress into  | aerospace_manufacturing education_training cyber_digital",ncs_course_directory,2026-06
NCS-10001467-d5d964f1-3525-4200-9bdf-f51451acc439,Air Cabin Crew (Adult),CITY OF BRISTOL COLLEGE,10001467,Bristol,BS1 5UA,bristol,See provider,4,Free Courses for Jobs,1,business_professional,school_leaver|apprenticeship,This is a training course for those wishing to take up a career in cabin crew. It is delivered by industry experienced staff. Students complete their practical assessment at airline training facilitie Type: Free Courses for Jobs,http://www.cityofbristol.ac.uk/courses/travel-tourism/air-cabin-crew-adult,Air Cabin Crew (Adult) | CITY OF BRISTOL COLLEGE | Bristol |  | Free Courses for Jobs |  | This is a training course for those wishing to take up a career in cabin crew. It is delivered by industry experienced staff. Students complete their practical  | business_professional,ncs_course_directory,2026-06
NCS-10001467-aad9c823-8b8a-4a9a-b46c-154ff5de87e9,Award in Education and Training,CITY OF BRISTOL COLLEGE,10001467,Bristol,BS7 9BU,bristol,See provider,4,Free Courses for Jobs,2,education_training,school_leaver|apprenticeship,"Achieving the Level 3 Award in Education and Training will provide sufficient evidence that the learner has obtained the necessary skills and knowledge to prepare, plan, deliver and evaluate basic tea Type: Free Courses for Jobs",http://www.cityofbristol.ac.uk/courses/education/teacher-training/award-in-education-and-training,Award in Education and Training | CITY OF BRISTOL COLLEGE | Bristol |  | Free Courses for Jobs |  | Achieving the Level 3 Award in Education and Training will provide sufficient evidence that the learner has obtained the necessary skills and knowledge to prepa | education_training,ncs_course_directory,2026-06
NCS-10001467-280901d2-1956-4221-8d22-be20d3d8f040,Biology (A2 Level),CITY OF BRISTOL COLLEGE,10001467,Bristol,BS1 5UA,bristol,See provider,4,Free Courses for Jobs,2,aerospace_manufacturing|cyber_digital,school_leaver|apprenticeship,"Biology is all around us. It is the study of living things: the diversity of life, the structure and function of living organisms and their interactions with the natural environment. This fascinating  Type: Free Courses for Jobs",http://www.cityofbristol.ac.uk/courses/applied-forensic-biomedical-science/science/biology-a2-level,"Biology (A2 Level) | CITY OF BRISTOL COLLEGE | Bristol |  | Free Courses for Jobs |  | Biology is all around us. It is the study of living things: the diversity of life, the structure and function of living organisms and their interactions with th | aerospace_manufacturing cyber_digital",ncs_course_directory,2026-06
NCS-10001467-933539e0-cd75-45e2-af92-8012e06a5574,Biology (AS Level - Part of A Level Programme),CITY OF BRISTOL COLLEGE,10001467,Bristol,BS1 5UA,bristol,See provider,4,Free Courses for Jobs,1,aerospace_manufacturing|cyber_digital,school_leaver|apprenticeship,"Biology is all around us. It is the study of living things: the diversity of life, the structure and function of living organisms and their interactions with the natural environment. This fascinating  Type: Free Courses for Jobs",http://www.cityofbristol.ac.uk/courses/applied-forensic-biomedical-science/science/biology-as-level-part-of-a-level-programme,"Biology (AS Level - Part of A Level Programme) | CITY OF BRISTOL COLLEGE | Bristol |  | Free Courses for Jobs |  | Biology is all around us. It is the study of living things: the diversity of life, the structure and function of living organisms and their interactions with th | aerospace_manufacturing cyber_digital",ncs_course_directory,2026-06
NCS-10001467-6b1ac55b-9b7c-4835-bee7-9a9e0410b23e,Biology (AS Level),CITY OF BRISTOL COLLEGE,10001467,Bristol,BS1 5UA,bristol,See provider,4,Free Courses for Jobs,2,aerospace_manufacturing|cyber_digital,school_leaver|apprenticeship,"Biology is all around us. It is the study of living things: the diversity of life, the structure and function of living organisms and their interactions with the natural environment. This fascinating  Type: Free Courses for Jobs",http://www.cityofbristol.ac.uk/courses/applied-forensic-biomedical-science/science/biology-as-level,"Biology (AS Level) | CITY OF BRISTOL COLLEGE | Bristol |  | Free Courses for Jobs |  | Biology is all around us. It is the study of living things: the diversity of life, the structure and function of living organisms and their interactions with th | aerospace_manufacturing cyber_digital",ncs_course_directory,2026-06
NCS-10001467-c1ac1cd5-2cba-4ae9-a349-a6425a38474a,Business Administration Level 2,CITY OF BRISTOL COLLEGE,10001467,Bristol,BS1 5UA,bristol,See provider,,FE / HE course,1,business_professional,school_leaver|apprenticeship,Would you like to work in an administrative environment? Learn administration and ICT skills that will help you achieve this? This course is for you!--The teaching team come from an administrative bac Type: FE / HE course,http://www.cityofbristol.ac.uk/courses/business-professional-services/administration/business-administration-level-2,Business Administration Level 2 | CITY OF BRISTOL COLLEGE | Bristol |  | FE / HE course |  | Would you like to work in an administrative environment? Learn administration and ICT skills that will help you achieve this? This course is for you!--The teach | business_professional,ncs_course_directory,2026-06
NCS-10001467-7349889e-475a-4db4-831b-b14d42b0176c,Business Foundation,CITY OF BRISTOL COLLEGE,10001467,Bristol,BS7 9BU,bristol,See provider,,FE / HE course,1,business_professional,school_leaver|apprenticeship,"This course provides a general foundation in business and management theories and concepts by exploring the nature of business, how business meets the needs of customers, stakeholders and employees, a Type: FE / HE course",http://www.cityofbristol.ac.uk/courses/business-professional-services/business/business-foundation,"Business Foundation | CITY OF BRISTOL COLLEGE | Bristol |  | FE / HE course |  | This course provides a general foundation in business and management theories and concepts by exploring the nature of business, how business meets the needs of  | business_professional",ncs_course_directory,2026-06
