cred_id,title,provider,town,region,level,course_type_label,sectors,summary,website,elcas_status,profile_text,source,source_date,role_families
MC-NCS-10004181-03b053e3-9582-43f7-94da-7d23bed63ef8,Car Licence to CAT C (Rigid/Class2) LGV/HGV Licence,MANTRA LEARNING LIMITED,Tortworth,gloucestershire,2,Skills Bootcamp,aerospace_manufacturing,This is for those who want to upskill from Car licence to HGV CAT C driver (class 2). The HGV Skills Bootcamp is free for unemployed individuals and those looking to leave their current workplace and  Type: Skills Bootcamp Level: 2 Eligibility for Enhanced Learning Credits (ELC) must be checked on ELCAS and with Education Staff — this demo does not confirm funding approval.,https://thelogisticsacademy.co.uk/looking-to-learn/skills-bootcamps/,check_on_elcas,Car Licence to CAT C (Rigid/Class2) LGV/HGV Licence | MANTRA LEARNING LIMITED | Tortworth | 2 | Skills Bootcamp | TRANSPORT | This is for those who want to upskill from Car licence to HGV CAT C driver (class 2). The HGV Skills Bootcamp is free for unemployed individuals and those looki | aerospace_manufacturing,ncs_course_directory,2026-06,field_ops|ops
MC-NCS-10004181-7bd2192b-88b5-4d2b-9e12-f10bb6610a3c,Car Licence to CAT C+E (Class1/Artic) HGV/LGV Licence,MANTRA LEARNING LIMITED,Tortworth,gloucestershire,2,Skills Bootcamp,aerospace_manufacturing,This is for those who want to upskill from Car licence to HGV CAT C+E driver (class 2). The HGV Skills Bootcamp is free for unemployed individuals and those looking to leave their current workplace an Type: Skills Bootcamp Level: 2 Eligibility for Enhanced Learning Credits (ELC) must be checked on ELCAS and with Education Staff — this demo does not confirm funding approval.,https://thelogisticsacademy.co.uk/looking-to-learn/skills-bootcamps/,check_on_elcas,Car Licence to CAT C+E (Class1/Artic) HGV/LGV Licence | MANTRA LEARNING LIMITED | Tortworth | 2 | Skills Bootcamp | TRANSPORT | This is for those who want to upskill from Car licence to HGV CAT C+E driver (class 2). The HGV Skills Bootcamp is free for unemployed individuals and those loo | aerospace_manufacturing,ncs_course_directory,2026-06,field_ops|ops
MC-NCS-10030802-a72d6cb4-28d8-482a-8cee-6c87d6867a26,Civil Engineering and Groundworks,THE CONSTRUCTION SKILLS PEOPLE LTD,Gloucestershire,gloucestershire,3,Skills Bootcamp,aerospace_manufacturing,This programme is aimed at individuals wishing to start a career in the construction industry and will provide CSCS Health and Safety training and core construction principles Type: Skills Bootcamp Level: 3 Eligibility for Enhanced Learning Credits (ELC) must be checked on ELCAS and with Education Staff — this demo does not confirm funding approval.,https://skillsacademies.com/courses/skills-bootcamp-in-groundworks-and-civil-engineering/,check_on_elcas,Civil Engineering and Groundworks | THE CONSTRUCTION SKILLS PEOPLE LTD | Gloucestershire | 3 | Skills Bootcamp | CONSTRUCTION | This programme is aimed at individuals wishing to start a career in the construction industry and will provide CSCS Health and Safety training and core construc | aerospace_manufacturing,ncs_course_directory,2026-06,engineer_ops|technician|manufacturing
MC-NCS-10030802-14e31982-f6a4-417a-9f53-89ede155ee4a,Construction Supervision,THE CONSTRUCTION SKILLS PEOPLE LTD,Gloucestershire,gloucestershire,3,Skills Bootcamp,construction_green,"Skills Bootcamps are free, flexible courses of up to 16 weeks, for people looking for a new role or job opportunity. You will be offered an interview with an employer once you complete your course. If Type: Skills Bootcamp Level: 3 Eligibility for Enhanced Learning Credits (ELC) must be checked on ELCAS and with Education Staff — this demo does not confirm funding approval.",https://constructionskillspeople.com/west-of-england-combined-authority/,check_on_elcas,"Construction Supervision | THE CONSTRUCTION SKILLS PEOPLE LTD | Gloucestershire | 3 | Skills Bootcamp | CONSTRUCTION | Skills Bootcamps are free, flexible courses of up to 16 weeks, for people looking for a new role or job opportunity. You will be offered an interview with an em | construction_green",ncs_course_directory,2026-06,technician|field_ops
MC-NCS-10000878-d4b07ec3-e5bd-42be-a8db-6aaee7d60ebb,EMTA L2 NVQ Dip Engineering Maintenance and Installation yr 3 of 3,UNIVERSITY CENTRE SOMERSET COLLEGE GROUP,Gloucestershire,gloucestershire,See provider,NVQ,aerospace_manufacturing,"UCS College Group offers a wide range of courses across its four colleges and also offsite. 
		Courses cover many areas and can be used for different purposes 
		such as furthering personal developmen Type: NVQ Eligibility for Enhanced Learning Credits (ELC) must be checked on ELCAS and with Education Staff — this demo does not confirm funding approval.",https://www.ucscollegegroup.ac.uk/courses/,check_on_elcas,"EMTA L2 NVQ Dip Engineering Maintenance and Installation yr 3 of 3 | UNIVERSITY CENTRE SOMERSET COLLEGE GROUP | Gloucestershire |  | NVQ |  | UCS College Group offers a wide range of courses across its four colleges and also offsite. 
		Courses cover many areas and can be used for different purposes 
 | aerospace_manufacturing",ncs_course_directory,2026-06,engineer_ops|technician|manufacturing
MC-NCS-10000878-04fbbf7a-bcd6-4337-8642-2f18c6e92314,Edexcel L2 NVQ Cert Plant Operations - Rear Tipping Dumper (TRANSPORTING LOADS) QQ7002432,UNIVERSITY CENTRE SOMERSET COLLEGE GROUP,Gloucestershire,gloucestershire,See provider,NVQ,business_professional,"UCS College Group offers a wide range of courses across its four colleges and also offsite. 
		Courses cover many areas and can be used for different purposes 
		such as furthering personal developmen Type: NVQ Eligibility for Enhanced Learning Credits (ELC) must be checked on ELCAS and with Education Staff — this demo does not confirm funding approval.",https://www.ucscollegegroup.ac.uk/courses/,check_on_elcas,"Edexcel L2 NVQ Cert Plant Operations - Rear Tipping Dumper (TRANSPORTING LOADS) QQ7002432 | UNIVERSITY CENTRE SOMERSET COLLEGE GROUP | Gloucestershire |  | NVQ |  | UCS College Group offers a wide range of courses across its four colleges and also offsite. 
		Courses cover many areas and can be used for different purposes 
 | business_professional",ncs_course_directory,2026-06,project_coord|ops
MC-NCS-10022116-a5293d8f-06f1-4d3a-8b7d-d730ece8860f,Level 3 NVQ Diploma Occupational Work Supervision (Construction),Training and Assessment Training Consultants,Gloucestershire,gloucestershire,See provider,NVQ,business_professional,The Level 3 NVQ Diploma in Occupational Work Supervision qualification has been developed for delivery in a working environment; this means you need to be employed to study this qualification.It has b Type: NVQ Eligibility for Enhanced Learning Credits (ELC) must be checked on ELCAS and with Education Staff — this demo does not confirm funding approval.,https://www.tacltd.org.uk/qualifications/level-3-nvq-diploma-occupational-work-supervision-construction/,check_on_elcas,Level 3 NVQ Diploma Occupational Work Supervision (Construction) | Training and Assessment Training Consultants | Gloucestershire |  | NVQ |  | The Level 3 NVQ Diploma in Occupational Work Supervision qualification has been developed for delivery in a working environment; this means you need to be emplo | business_professional,ncs_course_directory,2026-06,admin|finance|project_support
MC-NCS-10000878-1b3e818f-9339-40bc-832e-2168a0b4a85b,NOCN L2 NVQ Dip Controlling Lifting Operations (Construction) - Slinger/Signaller,UNIVERSITY CENTRE SOMERSET COLLEGE GROUP,Gloucestershire,gloucestershire,See provider,NVQ,business_professional,"UCS College Group offers a wide range of courses across its four colleges and also offsite. 
		Courses cover many areas and can be used for different purposes 
		such as furthering personal developmen Type: NVQ Eligibility for Enhanced Learning Credits (ELC) must be checked on ELCAS and with Education Staff — this demo does not confirm funding approval.",https://www.ucscollegegroup.ac.uk/courses/,check_on_elcas,"NOCN L2 NVQ Dip Controlling Lifting Operations (Construction) - Slinger/Signaller | UNIVERSITY CENTRE SOMERSET COLLEGE GROUP | Gloucestershire |  | NVQ |  | UCS College Group offers a wide range of courses across its four colleges and also offsite. 
		Courses cover many areas and can be used for different purposes 
 | business_professional",ncs_course_directory,2026-06,project_coord|ops
MC-NCS-10000878-e265f519-7fa3-430b-9e21-70fbb0e49d7b,NOCN L4 NVQ Dip in Controlling Lifting Operations (Construction) - Supervising Lifts Q005843 Continuers,UNIVERSITY CENTRE SOMERSET COLLEGE GROUP,Gloucestershire,gloucestershire,See provider,NVQ,business_professional,"UCS College Group offers a wide range of courses across its four colleges and also offsite. 
		Courses cover many areas and can be used for different purposes 
		such as furthering personal developmen Type: NVQ Eligibility for Enhanced Learning Credits (ELC) must be checked on ELCAS and with Education Staff — this demo does not confirm funding approval.",https://www.ucscollegegroup.ac.uk/courses/,check_on_elcas,"NOCN L4 NVQ Dip in Controlling Lifting Operations (Construction) - Supervising Lifts Q005843 Continuers | UNIVERSITY CENTRE SOMERSET COLLEGE GROUP | Gloucestershire |  | NVQ |  | UCS College Group offers a wide range of courses across its four colleges and also offsite. 
		Courses cover many areas and can be used for different purposes 
 | business_professional",ncs_course_directory,2026-06,project_coord|ops
MC-NCS-10000878-816178c4-919f-4251-a133-57ad809f18fa,NOCN L5 NVQ Dip in Controlling Lifting Operations (Construction) - Planning Lifts,UNIVERSITY CENTRE SOMERSET COLLEGE GROUP,Gloucestershire,gloucestershire,See provider,NVQ,business_professional,"UCS College Group offers a wide range of courses across its four colleges and also offsite. 
		Courses cover many areas and can be used for different purposes 
		such as furthering personal developmen Type: NVQ Eligibility for Enhanced Learning Credits (ELC) must be checked on ELCAS and with Education Staff — this demo does not confirm funding approval.",https://www.ucscollegegroup.ac.uk/courses/,check_on_elcas,"NOCN L5 NVQ Dip in Controlling Lifting Operations (Construction) - Planning Lifts | UNIVERSITY CENTRE SOMERSET COLLEGE GROUP | Gloucestershire |  | NVQ |  | UCS College Group offers a wide range of courses across its four colleges and also offsite. 
		Courses cover many areas and can be used for different purposes 
 | business_professional",ncs_course_directory,2026-06,project_coord|ops
